Name,Price,Smartphone OS,IMG PATH,Screen Resolution,Screen size,Processor,GPU,RAM
"Huawei Honor View20 (6GB RAM, 128GB)","35,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Huawei Honor View 20 1.jpg,1080x2310 pixels (~ 398 pixels per inch),6.4 inches,"2.6 GHz, Octa Core, HiSilicon Kirin 980",Mali-G76 MP10,6 GB
Google Pixel 2 XL 64GB,"45,499","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Google Pixel 2 XL 1.jpg,1440x2880 pixels (~ 537 pixels per inch),6 inches,"2.35 GHz, Octa Core, Qualcomm Snapdragon 835",Adreno 540,4 GB
"Xiaomi POCO F1 (6GB RAM, 64GB)","17,950","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Xiaomi POCO F1 1.jpg,1080x2246 pixels (~ 403 pixels per inch),6.18 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845 with LiquidCool Technology",Adreno 630,6 GB
"Asus Zenfone 5Z (6GB RAM, 64GB)","29,999","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Asus Zenfone 5Z 1.jpg,1080x2246 pixels (~ 402 pixels per inch),6.2 inches,"2.7 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,6 GB
Vivo V15 Pro (8GB RAM),"29,990",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Vivo V15 Pro 1.jpg,1080x2316 pixels (~ 400 pixels per inch),6.39 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 675",Adreno 612,8 GB
Vivo NEX,"39,990","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Vivo NEX 1.jpg,1080x2316 pixels (~ 388 pixels per inch),6.59 inches,"2.7 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,8 GB
Google Pixel 2 128GB,"70,000","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Google Pixel 2 1.jpg,1080x1920 pixels (~ 441 pixels per inch),5 inches,"2.35 GHz, Octa Core, Qualcomm Snapdragon 835",Adreno 540,4 GB
Apple iPhone 8 256GB,"64,499","Apple iOS 11, Upgradeable to 12.3",https://www.phonecurry.com/img/phones/Apple iPhone 8 1.jpg,750x1334 pixels (~ 326 pixels per inch),4.7 inches,"Hexa Core, A11 Bionic with Neural Engine and M11 Motion Coprocessor",Apple GPU,2 GB
Samsung Galaxy Note 8,"36,990","Android 7.1 Nougat, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy Note 8 1.jpg,1440x2960 pixels (~ 522 pixels per inch),6.3 inches,"2.3 GHz, Octa Core, Samsung Exynos 8895",Mali-G71 MP20,6 GB
Vivo V15 Pro (6GB RAM),"24,699",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Vivo V15 Pro 1.jpg,1080x2316 pixels (~ 400 pixels per inch),6.39 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 675",Adreno 612,6 GB
Samsung Galaxy A70,"28,990",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Samsung Galaxy A70 1.jpg,1080x2400 pixels (~ 393 pixels per inch),6.7 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 675",Adreno 612,6 GB
"Nokia 8.1 (6GB RAM, 128GB)","22,860",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Nokia 7.1 Plus 1.jpg,1080x2244 pixels (~ 403 pixels per inch),6.18 inches,"2.2 GHz, Octa Core, Qualcomm Snapdragon 710",Adreno 616,6 GB
LG V30 Plus,"24,999","Android 7.1 Nougat, Upgradeable to 8.0 Oreo",https://www.phonecurry.com/img/phones/LG V30 1.jpg,1440x2880 pixels (~ 537 pixels per inch),6 inches,"2.45 GHz, Octa Core, Qualcomm Snapdragon 835",Adreno 540,4 GB
Google Pixel 2 64GB,"61,000","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Google Pixel 2 1.jpg,1080x1920 pixels (~ 441 pixels per inch),5 inches,"2.35 GHz, Octa Core, Qualcomm Snapdragon 835",Adreno 540,4 GB
Nokia 8 Sirocco,"29,950","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Nokia 8 Sirocco 1.jpg,1440x2560 pixels (~ 534 pixels per inch),5.5 inches,"2.5 GHz, Octa Core, Qualcomm Snapdragon 835",Adreno 540,6 GB
Apple iPhone 8 64GB,"56,999","Apple iOS 11, Upgradeable to 12.3",https://www.phonecurry.com/img/phones/Apple iPhone 8 1.jpg,750x1334 pixels (~ 326 pixels per inch),4.7 inches,"Hexa Core, A11 Bionic with Neural Engine and M11 Motion Coprocessor",Apple GPU,2 GB
Sony Xperia XZ2,"72,990",Android 8.0 Oreo,https://www.phonecurry.com/img/phones/Sony Xperia XZ2 1.jpg,1080x2160 pixels (~ 424 pixels per inch),5.7 inches,"2.7 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,6 GB
HTC U11 Plus,"56,990","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/HTC U11 Plus 1.jpg,1440x2880 pixels (~ 537 pixels per inch),6 inches,"2.45 GHz, Octa Core, Qualcomm Snapdragon 835",Adreno 540,6 GB
"OnePlus 5T (8GB RAM, 128GB)","37,999","Android 7.1 Nougat, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/OnePlus 5T 1.jpg,1080x2160 pixels (~ 402 pixels per inch),6 inches,"2.45 GHz, Octa Core, Qualcomm Snapdragon 835",Adreno 540,8 GB
"Samsung Galaxy S8 Plus (6GB RAM, 128GB)","66,900","Android 7.0 Nougat, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy S8 1.jpg,1440x2960 pixels (~ 531 pixels per inch),6.2 inches,"2.3 GHz, Octa Core, Samsung Exynos 8895",Mali-G71 MP20,6 GB
Oppo R17,"28,990",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Oppo R17 1.jpg,1080x2280 pixels (~ 394 pixels per inch),6.4 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 670",Adreno 615,8 GB
MEIZU 16th,"39,999",Android 8.0 Oreo,https://www.phonecurry.com/img/phones/MEIZU 16th 1.jpg,1080x2160 pixels (~ 372 pixels per inch),6.5 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,8 GB
"Nokia 8.1 (4GB RAM, 64GB)","18,950",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Nokia 7.1 Plus 1.jpg,1080x2244 pixels (~ 403 pixels per inch),6.18 inches,"2.2 GHz, Octa Core, Qualcomm Snapdragon 710",Adreno 616,4 GB
"realme 3 Pro (6GB RAM, 128GB)","16,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/realme 3 Pro 1.jpg,1080x2340 pixels (~ 409 pixels per inch),6.3 inches,"2.2 GHz, Octa Core, Qualcomm Snapdragon 710",Adreno 616,6 GB
"Xiaomi Redmi Note 7 Pro (6GB RAM, 128GB)","16,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/Xiaomi Redmi Note 7 Pro 1.jpg,1080x2340 pixels (~ 409 pixels per inch),6.3 inches,"2 GHz, Octa Core, Qualcomm Snapdragon 675",Adreno 612,6 GB
"Samsung Galaxy S8 Plus (4GB RAM, 64GB)","51,990","Android 7.0 Nougat, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy S8 1.jpg,1440x2960 pixels (~ 531 pixels per inch),6.2 inches,"2.3 GHz, Octa Core, Samsung Exynos 8895",Mali-G71 MP20,4 GB
